AverageOfP2O5,AverageOfCaO,AverageOfTotalSolids_TS,AverageOf +0.150mm ,AverageOf +1mm%,Average of Al2O3,Average of MgO,Average of Fe2O3,Average of SiO2,R.Average of P2O52,R.Average of Solids,R.Average of SO4,production ,input,recovery
26.60736842,49.26,57.40947368,52.5825,1.875,0.478947368,0.162631579,0.11,7.754736842,27.455,27.985,2.588333333,3955.669212,4433.46718,0.892229276
27.37,49.35105263,57.60473684,53.63666667,1.494166667,0.517368421,0.158421053,0.114210526,7.685789474,26.98833333,30.87833333,3.408333333,4013.397189,4399.075846,0.912327345
25.83842105,49.31578947,60.52105263,47.47166667,2.194166667,0.644736842,0.168947368,0.14,7.545789474,26.67833333,31.55833333,2.838333333,3410.443475,3783.245279,0.901459785
25.78736842,49.23421053,63.34157895,53.50416667,3.334166667,0.513157895,0.138421053,0.1,8.084736842,27.935,30.11666667,2.463333333,4157.413048,4671.123784,0.890024165
26.79833333,49.84111111,60.73222222,53.20166667,1.566666667,0.433333333,0.151111111,0.098888889,7.081666667,26.39166667,30.05,2.871666667,4028.57709,4368.392684,0.922210383
26.41736842,49.65578947,60.86736842,54.68416667,2.901666667,0.351052632,0.123684211,0.084736842,7.36,27.46333333,29.77,2.155,4330.028687,4696.375102,0.921993792
26.46894737,49.50421053,58.35368421,55.19166667,1.564166667,0.392631579,0.134210526,0.136315789,7.570526316,27.73666667,28.24333333,2.413333333,4499.973883,4867.438793,0.924505489
25.518125,48.77,57.985,53.66,5.060909091,0.696875,0.15375,0.251875,8.298125,27.08,29.56666667,2.753333333,3006.611855,3345.989088,0.898571925
27.03947368,48.60947368,57.54421053,55.095,2.884166667,0.690526316,0.138947368,0.152631579,8.636315789,27.52833333,28.455,2.205,4058.335564,4426.478595,0.916831625
26.10176471,48.49352941,58.11705882,51.47181818,3.725454545,0.485882353,0.137647059,0.12,8.895294118,27.03666667,28.12,2.93,3233.39805,3569.203376,0.905915889
26.5,49.02052632,59.57473684,52.785,2.22,0.323684211,0.135263158,0.095263158,8.54,26.62,28.975,3.25,4064.944807,4351.260704,0.934199324
26.77882353,49.30117647,58.74529412,54.949,0.792,0.215294118,0.129411765,0.100588235,7.630588235,25.19666667,29.585,3.775,4001.619987,4353.833448,0.919102679
25.39157895,48.93526316,59.22473684,50.64666667,1.8975,0.281578947,0.161052632,0.091578947,7.86,25.955,30.975,3.018333333,3823.602175,4156.070396,0.920004189
26.22125,49.005625,55.06125,50.875,1.118333333,0.416875,0.216875,0.111875,7.430625,27.44166667,30.92333333,3.065,4415.248408,4756.089572,0.92833584
26.23157895,48.03789474,61.35736842,51.16583333,3.069166667,0.545263158,0.190526316,0.165263158,7.972105263,27.09833333,29.66833333,2.756666667,4130.062694,4464.696809,0.92504886
27.19105263,48.57578947,61.39578947,55.83166667,4.034166667,0.595789474,0.420526316,0.154736842,7.573684211,27.85,27.45,2.98,4517.66871,4889.167597,0.924015923
26.27210526,48.74894737,56.64578947,52.0825,4.395,0.704736842,0.817368421,0.184736842,7.558947368,26.19166667,28.09666667,2.818333333,3223.390196,3548.395426,0.908407832
27.18947368,48.20052632,59.74894737,51.8725,1.873333333,0.572105263,0.413157895,0.115789474,8.808421053,27.95333333,30.07,2.933333333,4517.673206,4913.654703,0.919412022
